Title,genre,released,score,star,budget,Marketing Spend,Marketing Amount,gross,Profitability,Pre Production Spend,Pre-Production Amount,VFX Spend,VFX Amount,Post Production Spend,Post Production Amount,Music Spend,Music Amount,Distribution,Distribution Amount
Southern Comfort,Action,"September 25, 1981 (United States)",7.2,Keith Carradine,58084599.21,37.5,21781724.7,145508580.8,87423981.64,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
S.O.B.,Comedy,"July 1, 1981 (United States)",6.4,Julie Andrews,12000000,25,3000000,14867086,2867086,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
The Beyond,Horror,"November 11, 1983 (United States)",6.8,Catriona MacColl,400000,25,100000,123843,-276157,45,180000,15,60000,7.5,30000,6,24000,12.5,50000
Ghost Story,Drama,"December 18, 1981 (United States)",6.3,Craig Wasson,22914608.79,17.5,4010056.539,23371905,457296.208,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
My Bloody Valentine,Horror,"February 11, 1981 (United States)",6.3,Paul Kelman,12825159.09,25,3206289.773,5672031,-7153128.091,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
The Funhouse,Horror,"March 13, 1981 (United States)",5.9,Elizabeth Berridge,12825159.09,25,3206289.773,7886857,-4938302.091,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
One from the Heart,Drama,"February 11, 1982 (United States)",6.5,Frederic Forrest,26000000,17.5,4550000,636796,-25363204,65,16900000,7.5,1950000,7.5,1950000,4,1040000,12.5,3250000
The French Lieutenant's Woman,Drama,"October 16, 1981 (United States)",7,Meryl Streep,22914608.79,17.5,4010056.539,26890068,3975459.208,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
The Great Muppet Caper,Adventure,"June 26, 1981 (United States)",7.2,Jim Henson,45708389.06,37.5,17140645.9,31206251,-14502138.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
True Confessions,Crime,"September 25, 1981 (United States)",6.3,Robert De Niro,10000000,20,2000000,12850276,2850276,55,5500000,15,1500000,7.5,750000,6,600000,12.5,1250000
Looker,Drama,"October 30, 1981 (United States)",6.1,Albert Finney,8000000,17.5,1400000,38930959.49,30930959.49,65,5200000,7.5,600000,7.5,600000,4,320000,12.5,1000000
Nighthawks,Action,"April 10, 1981 (United States)",6.4,Sylvester Stallone,5000000,37.5,1875000,19905359,14905359,45,2250000,30,1500000,7.5,375000,4,200000,12.5,625000
Nice Dreams,Comedy,"June 5, 1981 (United States)",6.2,Cheech Marin,22607802.13,25,5651950.532,37000000,14392197.87,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Sharky's Machine,Action,"December 18, 1981 (United States)",6.3,Burt Reynolds,58084599.21,37.5,21781724.7,35610100,-22474499.21,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Neighbors,Comedy,"December 18, 1981 (United States)",5.6,John Belushi,8500000,25,2125000,29916207,21416207,55,4675000,7.5,637500,7.5,637500,4,340000,12.5,1062500
Puberty Blues,Comedy,"December 10, 1981 (Australia)",5.9,Nell Schofield,22607802.13,25,5651950.532,237000,-22370802.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Eye of the Needle,Romance,"July 24, 1981 (United States)",7.1,Donald Sutherland,24040000,17.5,4207000,17583634,-6456366,55,13222000,7.5,1803000,7.5,1803000,7.5,1803000,12.5,3005000
Wolfen,Horror,"July 24, 1981 (United States)",6.3,Albert Finney,17000000,25,4250000,10626725,-6373275,45,7650000,15,2550000,7.5,1275000,6,1020000,12.5,2125000
Student Bodies,Comedy,"August 7, 1981 (United States)",5.5,Kristen Riter,22607802.13,25,5651950.532,5165432,-17442370.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Prince of the City,Crime,"August 26, 1981 (United States)",7.5,Treat Williams,8600000,20,1720000,8124257,-475743,55,4730000,15,1290000,7.5,645000,6,516000,12.5,1075000
The Hand,Drama,"April 24, 1981 (United States)",5.5,Michael Caine,22914608.79,17.5,4010056.539,2447576,-20467032.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Continental Divide,Comedy,"September 18, 1981 (United States)",6.2,John Belushi,22607802.13,25,5651950.532,15578237,-7029565.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Diva,Music,"April 23, 1982 (United States)",7.2,Wilhelmenia Fernandez,0,20,0,110014,0,45,0,7.5,0,7.5,0,15,0,12.5,0
Venom,Horror,"January 29, 1982 (United States)",5.8,Klaus Kinski,12825159.09,25,3206289.773,5229643,-7595516.091,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
Fort Apache the Bronx,Crime,"February 6, 1981 (United States)",6.7,Paul Newman,22363565.63,20,4472713.126,29200000,6836434.37,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Eyes of a Stranger,Horror,"March 27, 1981 (United States)",6,Lauren Tewes,800000,25,200000,1118634,318634,45,360000,15,120000,7.5,60000,6,48000,12.5,100000
Zorro: The Gay Blade,Action,"July 17, 1981 (United States)",6.2,George Hamilton,58084599.21,37.5,21781724.7,145508580.8,87423981.64,45,26138069.64,30,17425379.76,7.5,4356344.941,4,2323383.968,12.5,7260574.901
Under the Rainbow,Comedy,"July 31, 1981 (United States)",5.4,Chevy Chase,20000000,25,5000000,18826490,-1173510,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Carbon Copy,Comedy,"September 25, 1981 (United States)",5.6,George Segal,6000000,25,1500000,9566593,3566593,55,3300000,7.5,450000,7.5,450000,4,240000,12.5,750000
The Incredible Shrinking Woman,Comedy,"January 30, 1981 (United States)",5.5,Lily Tomlin,22607802.13,25,5651950.532,20259961,-2347841.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Night the Lights Went Out in Georgia,Drama,"June 5, 1981 (United States)",6,Kristy McNichol,22914608.79,17.5,4010056.539,14923752,-7990856.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Quartet,Drama,"October 25, 1981 (United States)",6.3,Isabelle Adjani,22914608.79,17.5,4010056.539,12042,-22902566.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Graduation Day,Horror,"May 1, 1981 (United States)",4.9,Christopher George,250000,25,62500,47372409.13,47122409.13,45,112500,15,37500,7.5,18750,6,15000,12.5,31250
Modern Problems,Comedy,"December 25, 1981 (United States)",5.1,Chevy Chase,8000000,25,2000000,26154211,18154211,55,4400000,7.5,600000,7.5,600000,4,320000,12.5,1000000
Pennies from Heaven,Drama,"January 1, 1982 (United States)",6.5,Steve Martin,22000000,17.5,3850000,9171289,-12828711,65,14300000,7.5,1650000,7.5,1650000,4,880000,12.5,2750000
American Pop,Animation,"February 13, 1981 (United States)",7.2,Mews Small,1500000,20,300000,239229987.5,237729987.5,35,525000,45,675000,10,150000,5,75000,12.5,187500
The Legend of the Lone Ranger,Action,"May 22, 1981 (United States)",5.1,Klinton Spilsbury,18000000,37.5,6750000,12617845,-5382155,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Sphinx,Adventure,"February 11, 1981 (United States)",5.2,Lesley-Anne Down,14000000,37.5,5250000,2022771,-11977229,45,6300000,30,4200000,7.5,1050000,4,560000,12.5,1750000
Night School,Horror,"September 11, 1981 (United States)",5.6,Leonard Mann,12825159.09,25,3206289.773,1169875,-11655284.09,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
An Eye for an Eye,Action,"August 14, 1981 (United States)",5.5,Chuck Norris,3800000,37.5,1425000,145508580.8,141708580.8,45,1710000,30,1140000,7.5,285000,4,152000,12.5,475000
Zoot Suit,Drama,"January 1, 1982 (United States)",6.8,Daniel Valdez,2700000,17.5,472500,3256082,556082,65,1755000,7.5,202500,7.5,202500,4,108000,12.5,337500
Rich and Famous,Drama,"October 9, 1981 (United States)",5.9,Jacqueline Bisset,22914608.79,17.5,4010056.539,14492125,-8422483.792,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Buddy Buddy,Comedy,"December 11, 1981 (United States)",6.5,Jack Lemmon,10000000,25,2500000,7258543,-2741457,55,5500000,7.5,750000,7.5,750000,4,400000,12.5,1250000
Bustin' Loose,Comedy,"May 22, 1981 (United States)",6.1,Richard Pryor,11000000,25,2750000,31261269,20261269,55,6050000,7.5,825000,7.5,825000,4,440000,12.5,1375000
Modern Romance,Comedy,"March 13, 1981 (United States)",7,Albert Brooks,22607802.13,25,5651950.532,2863642,-19744160.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Heartbeeps,Comedy,"December 18, 1981 (United States)",4.3,Andy Kaufman,12000000,25,3000000,2154696,-9845304,55,6600000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Back Roads,Adventure,"March 13, 1981 (United States)",5.6,Sally Field,45708389.06,37.5,17140645.9,11809387,-33899002.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Take This Job and Shove It,Comedy,"May 15, 1981 (United States)",5,Robert Hays,3500000,25,875000,17569027,14069027,55,1925000,7.5,262500,7.5,262500,4,140000,12.5,437500
Raggedy Man,Drama,"September 18, 1981 (United States)",6.8,Sissy Spacek,22914608.79,17.5,4010056.539,1976198,-20938410.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Whose Life Is It Anyway?,Comedy,"January 22, 1982 (United States)",7.3,Richard Dreyfuss,13000000,25,3250000,8206145,-4793855,55,7150000,7.5,975000,7.5,975000,4,520000,12.5,1625000
Inchon,Drama,"September 17, 1982 (United States)",2.7,Laurence Olivier,46000000,17.5,8050000,5200986,-40799014,65,29900000,7.5,3450000,7.5,3450000,4,1840000,12.5,5750000
All Night Long,Comedy,"March 6, 1981 (United States)",5.5,Gene Hackman,14000000,25,3500000,4454295,-9545705,55,7700000,7.5,1050000,7.5,1050000,4,560000,12.5,1750000
The Pursuit of D.B. Cooper,Adventure,"November 13, 1981 (United States)",5.6,Robert Duvall,12000000,37.5,4500000,3702028,-8297972,45,5400000,30,3600000,7.5,900000,4,480000,12.5,1500000
Rollover,Drama,"December 11, 1981 (United States)",5.4,Jane Fonda,16000000,17.5,2800000,10851261,-5148739,65,10400000,7.5,1200000,7.5,1200000,4,640000,12.5,2000000
Only When I Laugh,Comedy,"September 25, 1981 (United States)",6.5,Marsha Mason,22607802.13,25,5651950.532,25524778,2916975.871,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Honky Tonk Freeway,Action,"August 21, 1981 (United States)",5.2,David Rasche,24000000,37.5,9000000,2004742,-21995258,45,10800000,30,7200000,7.5,1800000,4,960000,12.5,3000000
Paternity,Comedy,"October 2, 1981 (United States)",4.9,Burt Reynolds,22607802.13,25,5651950.532,18838812,-3768990.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
King of the Mountain,Action,"May 1, 1981 (United States)",5.5,Harry Hamlin,2000000,37.5,750000,1791147,-208853,45,900000,30,600000,7.5,150000,4,80000,12.5,250000
Scream,Horror,"January 1, 1981 (United States)",2.9,Pepper Martin,12825159.09,25,3206289.773,47372409.13,34547250.04,45,5771321.591,15,1923773.864,7.5,961886.9318,6,769509.5455,12.5,1603144.886
The Devil and Max Devlin,Comedy,"March 6, 1981 (United States)",5,Elliott Gould,22607802.13,25,5651950.532,16000000,-6607802.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Amateur,Crime,"February 12, 1982 (United States)",5.8,John Savage,22363565.63,20,4472713.126,6892098,-15471467.63,55,12299961.1,15,3354534.844,7.5,1677267.422,6,1341813.938,12.5,2795445.704
Longshot,Comedy,1981 (United States),5.1,Leif Garrett,22607802.13,25,5651950.532,44331874.3,21724072.17,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Comin' at Ya!,Western,"July 24, 1981 (United States)",5.1,Tony Anthony,10500000,20,2100000,12000000,1500000,55,5775000,15,1575000,7.5,787500,6,630000,12.5,1312500
Le Pont du Nord,Adventure,"March 24, 1982 (France)",6.9,Bulle Ogier,45708389.06,37.5,17140645.9,17110,-45691279.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
Silence of the North,Drama,"October 23, 1981 (Canada)",6.3,Ellen Burstyn,22914608.79,17.5,4010056.539,1622898,-21291710.79,65,14894495.71,7.5,1718595.659,7.5,1718595.659,4,916584.3517,12.5,2864326.099
Fast Times at Ridgemont High,Comedy,"August 13, 1982 (United States)",7.2,Sean Penn,4500000,25,1125000,27092880,22592880,55,2475000,7.5,337500,7.5,337500,4,180000,12.5,562500
Blade Runner,Action,"June 25, 1982 (United States)",8.1,Harrison Ford,28000000,37.5,10500000,41676878,13676878,45,12600000,30,8400000,7.5,2100000,4,1120000,12.5,3500000
The Thing,Horror,"June 25, 1982 (United States)",8.1,Kurt Russell,15000000,25,3750000,19632053,4632053,45,6750000,15,2250000,7.5,1125000,6,900000,12.5,1875000
Conan the Barbarian,Action,"May 14, 1982 (United States)",6.9,Arnold Schwarzenegger,20000000,37.5,7500000,68851475,48851475,45,9000000,30,6000000,7.5,1500000,4,800000,12.5,2500000
E.T. the Extra-Terrestrial,Family,"June 11, 1982 (United States)",7.8,Henry Thomas,10500000,20,2100000,792910554,782410554,45,4725000,15,1575000,12.5,1312500,7.5,787500,12.5,1312500
First Blood,Action,"October 22, 1982 (United States)",7.7,Sylvester Stallone,15000000,37.5,5625000,125212904,110212904,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
An Officer and a Gentleman,Drama,"August 13, 1982 (United States)",7,Richard Gere,7500000,17.5,1312500,129795554,122295554,65,4875000,7.5,562500,7.5,562500,4,300000,12.5,937500
Grease 2,Comedy,"June 11, 1982 (United States)",4.4,Michelle Pfeiffer,13200000,25,3300000,15171476,1971476,55,7260000,7.5,990000,7.5,990000,4,528000,12.5,1650000
Annie,Comedy,"June 18, 1982 (United States)",6.6,Aileen Quinn,50000000,25,12500000,57063861,7063861,55,27500000,7.5,3750000,7.5,3750000,4,2000000,12.5,6250000
Poltergeist,Horror,"June 4, 1982 (United States)",7.3,JoBeth Williams,10700000,25,2675000,77142388,66442388,45,4815000,15,1605000,7.5,802500,6,642000,12.5,1337500
48 Hrs.,Action,"December 8, 1982 (United States)",6.9,Nick Nolte,12000000,37.5,4500000,78868508,66868508,45,5400000,30,3600000,7.5,900000,4,480000,12.5,1500000
Star Trek II: The Wrath of Khan,Action,"June 4, 1982 (United States)",7.7,William Shatner,11200000,37.5,4200000,78912963,67712963,45,5040000,30,3360000,7.5,840000,4,448000,12.5,1400000
Paradise,Adventure,"May 7, 1982 (United States)",4.9,Willie Aames,45708389.06,37.5,17140645.9,5588800,-40119589.06,45,20568775.08,30,13712516.72,7.5,3428129.179,4,1828335.562,12.5,5713548.632
The Last American Virgin,Comedy,"July 30, 1982 (United States)",6.3,Lawrence Monoson,22607802.13,25,5651950.532,5829781,-16778021.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Sophie's Choice,Drama,"March 4, 1983 (United States)",7.6,Meryl Streep,12000000,17.5,2100000,30036000,18036000,65,7800000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Gandhi,Biography,"February 25, 1983 (United States)",8,Ben Kingsley,22000000,17.5,3850000,52767889,30767889,55,12100000,7.5,1650000,7.5,1650000,4,880000,12.5,2750000
Tootsie,Comedy,"December 17, 1982 (United States)",7.4,Dustin Hoffman,21000000,25,5250000,177200000,156200000,55,11550000,7.5,1575000,7.5,1575000,4,840000,12.5,2625000
Tron,Action,"July 9, 1982 (United States)",6.8,Jeff Bridges,17000000,37.5,6375000,33000525,16000525,45,7650000,30,5100000,7.5,1275000,4,680000,12.5,2125000
The Secret of NIMH,Animation,"July 16, 1982 (United States)",7.6,Elizabeth Hartman,7000000,20,1400000,14665733,7665733,35,2450000,45,3150000,10,700000,5,350000,12.5,875000
The King of Comedy,Comedy,"February 18, 1983 (Brazil)",7.8,Robert De Niro,20000000,25,5000000,2536242,-17463758,55,11000000,7.5,1500000,7.5,1500000,4,800000,12.5,2500000
Rocky III,Drama,"May 28, 1982 (United States)",6.8,Sylvester Stallone,17000000,17.5,2975000,125052686,108052686,65,11050000,7.5,1275000,7.5,1275000,4,680000,12.5,2125000
The Beastmaster,Action,"August 20, 1982 (United States)",6.2,Marc Singer,8000000,37.5,3000000,14056528,6056528,45,3600000,30,2400000,7.5,600000,4,320000,12.5,1000000
Creepshow,Comedy,"November 12, 1982 (United States)",6.9,Hal Holbrook,8000000,25,2000000,21028755,13028755,55,4400000,7.5,600000,7.5,600000,4,320000,12.5,1000000
The Man from Snowy River,Adventure,"November 5, 1982 (United States)",7.3,Kirk Douglas,3500000,37.5,1312500,20659423,17159423,45,1575000,30,1050000,7.5,262500,4,140000,12.5,437500
Pink Floyd: The Wall,Drama,"September 17, 1982 (United States)",8,Bob Geldof,12000000,17.5,2100000,22265763,10265763,65,7800000,7.5,900000,7.5,900000,4,480000,12.5,1500000
Cat People,Fantasy,"April 2, 1982 (United States)",6.2,Nastassja Kinski,18000000,30,5400000,7000000,-11000000,35,6300000,40,7200000,12.5,2250000,5,900000,12.5,2250000
Fanny and Alexander,Drama,"December 17, 1982 (Sweden)",8.1,Bertil Guve,6000000,17.5,1050000,6795771,795771,65,3900000,7.5,450000,7.5,450000,4,240000,12.5,750000
Friday the 13th Part III,Horror,"August 13, 1982 (United States)",5.7,Dana Kimmell,2300000,25,575000,36690067,34390067,45,1035000,15,345000,7.5,172500,6,138000,12.5,287500
Firefox,Action,"June 18, 1982 (United States)",6,Clint Eastwood,18000000,37.5,6750000,46708276,28708276,45,8100000,30,5400000,7.5,1350000,4,720000,12.5,2250000
Halloween III: Season of the Witch,Horror,"October 22, 1982 (United States)",5,Tom Atkins,2500000,25,625000,14400000,11900000,45,1125000,15,375000,7.5,187500,6,150000,12.5,312500
The Dark Crystal,Adventure,"December 17, 1982 (United States)",7.2,Jim Henson,15000000,37.5,5625000,41630431,26630431,45,6750000,30,4500000,7.5,1125000,4,600000,12.5,1875000
The Verdict,Drama,"December 17, 1982 (United States)",7.7,Paul Newman,16000000,17.5,2800000,53993738,37993738,65,10400000,7.5,1200000,7.5,1200000,4,640000,12.5,2000000
Pieces,Horror,"September 23, 1983 (United States)",6.1,Christopher George,300000,25,75000,2032311,1732311,45,135000,15,45000,7.5,22500,6,18000,12.5,37500
Zapped!,Comedy,"September 3, 1982 (United States)",4.9,Scott Baio,22607802.13,25,5651950.532,16897768,-5710034.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Six Pack,Comedy,"July 16, 1982 (United States)",5.9,Kenny Rogers,22607802.13,25,5651950.532,20225989,-2381813.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The World According to Garp,Comedy,"July 23, 1982 (United States)",7.2,Robin Williams,17000000,25,4250000,29712172,12712172,55,9350000,7.5,1275000,7.5,1275000,4,680000,12.5,2125000
Diner,Comedy,"May 21, 1982 (United States)",7.1,Steve Guttenberg,5000000,25,1250000,14099953,9099953,55,2750000,7.5,375000,7.5,375000,4,200000,12.5,625000
The Best Little Whorehouse in Texas,Comedy,"July 23, 1982 (United States)",6,Burt Reynolds,35000000,25,8750000,69701637,34701637,55,19250000,7.5,2625000,7.5,2625000,4,1400000,12.5,4375000
The Year of Living Dangerously,Drama,"February 18, 1983 (United States)",7.1,Mel Gibson,13000000,17.5,2275000,10278575,-2721425,65,8450000,7.5,975000,7.5,975000,4,520000,12.5,1625000
Night Shift,Comedy,"July 30, 1982 (United States)",6.6,Henry Winkler,22607802.13,25,5651950.532,21095638,-1512164.129,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Summer Lovers,Comedy,"July 16, 1982 (United States)",5.7,Peter Gallagher,22607802.13,25,5651950.532,4968000,-17639802.13,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
Victor Victoria,Comedy,"March 19, 1982 (United States)",7.6,Julie Andrews,22607802.13,25,5651950.532,28229046,5621243.871,55,12434291.17,7.5,1695585.16,7.5,1695585.16,4,904312.0852,12.5,2825975.266
The Last Unicorn,Animation,"November 19, 1982 (United States)",7.4,Jeff Bridges,3500000,20,700000,6455330,2955330,35,1225000,45,1575000,10,350000,5,175000,12.5,437500
